"","individual_article","targeted_words","frequencey","total_counts"
"76","Gender.in.African.Population.Research_.The.Fertility_Reproductive.Health.Example.pdf","human",4,5731
"77","Global.Biodiversity.Change_.The.Bad..the.Good..and.the.Unknown.pdf","human",63,5731
"78","Global.Biogeochemical.Cycling.of.Mercury_.A.Review.pdf","human",30,5731
"79","Global.Climate.Forcing.by.Criteria.Air.Pollutants.pdf","human",20,5731
"80","Global.Environmental.Change.and.Noncommunicable.Disease.Risks.pdf","human",32,5731
"81","Global.footprints.of.dansgaard.oeschger.oscillations.in.a.GCM.pdf","human",0,5731
"82","Global.State.of.Biodiversity.and.Loss.pdf","human",37,5731
"83","Global.Wildland.Fire.Management.Research.Needs.pdf","human",16,5731
"84","Have.plants.evolved.to.self.immolate_.pdf","human",3,5731
"85","Historical.pyrogeography.of.Texas..USA.pdf","human",7,5731
"86","Holocene.changes.in.fire.frequency.in.the.Daihai.Lake.region..north.central.China._.indications.and.implications.for.an.important.role.of.human.activity.pdf","human",48,5731
"87","How.Does.Fire.Suppression.Alter.the.Wildfire.Regime.A.Systematic.Review.pdf","human",15,5731
"88","How.Was.the.Australian.Flora.Assembled.Over.the.Last.65.Million.Years_.A.Molecular.Phylogenetic.Perspective.pdf","human",2,5731
"89","Human.caused.fire.occurrence.modelling.in.perspective_.a.review.pdf","human",73,5731
"90","Human.Appropriation.of.Net.Primary.Production_.Patterns..Trends..and.Planetary.Boundaries.pdf","human",178,5731
"91","Human.Impacts.in.Pine.Forests_.Past..Present..and.Future.pdf","human",53,5731
"92","Human.Pyrogeography_.A.New.Synergy.of.Fire..Climate.and.People.is.Reshaping.Ecosystems.across.the.Globe.pdf","human",118,5731
"93","Humans.and.fire_.Changing.relations.in.early.agricultural.and.built.environments.in.the.Zagros..Iran..Iraq.pdf","human",59,5731
"94","Integrating.Economic.Land.Use.and.Biophysical.Models.pdf","human",7,5731
"95","Interactions.Among.Invasive.Plants_.Lessons.from.Hawai.i.pdf","human",4,5731
"96","Invasiveness..Monitoring.and.Control.of.Hakea.sericea.A.Systematic.Review.pdf","human",5,5731
"97","Island.Biodiversity.in.the.Anthropocene.pdf","human",85,5731
"98","Justice.and.Future.Generations.pdf","human",19,5731
"99","Land.Use.and.Ecological.Change_.A.12.000.Year.History.pdf","human",96,5731
"100","Land.Use.and.Wildfire_.A.Review.of.Local.Interactions.and.Teleconnections.pdf","human",28,5731
"101","Landscape.Ecology.A.Helicopter.View.pdf","human",21,5731
"102","Late.glacial.and.Holocene.records.of.fire.and.vegetation.from.Cradle.Mountain.National.Park..Tasmania..Australia.pdf","human",28,5731
"103","Locally.Based..Regionally.Manifested..and.Globally.Relevant_.Indigenous.and.Local.Knowledge..Values..and.Practices.for.Nature.pdf","human",32,5731
"104","martin.2016.at.the.nexus.of.fire.water.and.society.pdf","human",9,5731
"105","Mechanisms.of.Fire.Seasonality.Effects.on.Plant.Populations.pdf","human",10,5731
"106","Mediterranean.Biomes_.Evolution.of.Their.Vegetation..Floras..and.Climate.pdf","human",2,5731
"107","Mid.Cretaceous.Hothouse.Climate.and.the.Expansion.of.Early.Angiosperms.pdf","human",0,5731
"108","Mobile.Worlds_.Choice.at.the.Intersection.of.Demographic.and.Environmental.Change.pdf","human",31,5731
"109","Mobilizing.the.past.to.shape.a.better.Anthropocene.pdf","human",54,5731
"110","Modelling.Human.Fire.Interactions.Combining.Alternative.Perspectives.and.Approaches.pdf","human",132,5731
"111","Multiple.Facets.of.Marine.Invertebrate.Conservation.Genomics.pdf","human",12,5731
"112","Museum.Genomics.pdf","human",30,5731
"113","Natural.population.die.offs_.causes.and.consequences.for.terrestrial.mammals.pdf","human",7,5731
"114","Nature.and.Climate.Effects.of.Individual.Tropospheric.Aerosol.Particles.pdf","human",2,5731
"115","Paleobiology.of.Herbivorous.Dinosaurs.pdf","human",0,5731
"116","Paleolithic.Archaeology.in.China.pdf","human",34,5731
"117","Peatlands.and.Global.Change_.Response.and.Resilience.pdf","human",26,5731
"118","Photorespiration.and.the.Evolution.of.C4.Photosynthesis.pdf","human",3,5731
"119","Plant.Evolution.and.Climate.Over.Geological.Timescales.pdf","human",1,5731
"120","Political.Theory.on.Climate.Change.pdf","human",33,5731
"121","Preindustrial.Human.Impacts.on.Global.and.Regional.Environment.pdf","human",123,5731
"122","Progress.in.Wilderness.Fire.Science.pdf","human",6,5731
"123","Promoting.Global.Population.Health.While.Constraining.the.Environmental.Footprint.pdf","human",79,5731
"124","psw_gtr247_01.pdf","human",34,5731
"125","pyrodiversity.is.the.coupling.of.biodiversity.and.fire.regimes.in.food.webs.pdf","human",27,5731
"126","Pyrodiversity.in.a.warming.world_.Research.challenges.and.opportunities.pdf","human",5,5731
"127","Pyrogeography.and.the.Global.Quest.for.Sustainable.Fire.Management.pdf","human",61,5731
"128","pyrosociality.pdf","human",39,5731
"129","Quaking.Aspen.in.the.Northern.Rockies.Retention.and.Restoration.pdf","human",0,5731
"130","Quaking.Aspen.in.the.Northern.Rockies.pdf","human",0,5731
"131","Recent.Advances.and.Remaining.Uncertainties.in.Resolving.pdf","human",55,5731
"132","Reconstruction.of.fire.regimes.through.integrated.paleoecological.proxy.data.and.ecological.modeling.pdf","human",30,5731
"133","Reducing.Emissions.from.Deforestation.and.Forest.Degradation.pdf","human",6,5731
"134","Regional.and.Global.Emissions.of.Air.Pollutants_.Recent.Trends.and.Future.Scenarios.pdf","human",8,5731
"135","Regulation.of.Seed.Germination.and.Seedling.Growth.by.Chemical.Signals.from.Burning.Vegetation.pdf","human",3,5731
"136","Representing.climate..disturbance..and.vegetation.interactions.in.landscape.models.pdf","human",4,5731
"137","Resprouting.as.a.key.functional.trait_.how.buds..protection.and.resources.drive.persistence.after.fire.pdf","human",0,5731
"138","Restoration.Ecology_.Interventionist.Approaches.for.Restoring.and.Maintaining.Ecosystem.Function.in.the.Face.of.Rapid.Environmental.Change.pdf","human",24,5731
"139","Review.of.driving.factors.for.land.degradation.and.restoration.based.on.IPBES.pdf","human",4,5731
"140","Reviewing.Fire..Climate..Deer..and.Foundation.Species.as.Drivers.of.Historically.Open.Oak.and.Pine.Forests.and.Transition.to.Closed.Forests.pdf","human",14,5731
"141","Revisiting.Wildland.Fire.Fuel.Quantification.Methods_.The.Challenge.of.Understanding.a.Dynamic..Biotic.Entity.pdf","human",3,5731
"142","Rewilding_.Science..Practice..and.Politics.pdf","human",41,5731
"143","roos.et.al.2016.living.on.a.flammable.planet.interdisciplinary.cross.scalar.and.varied.cultural.lessons.prospects.and.pdf","human",43,5731
"144","Shepherding.for.Wildfire.Adaptation.pdf","human",8,5731
"145","Soothsaying.DOM.pdf","human",1,5731
"146","Spatiotemporal.Data.Mining.Problems.and.Methods.pdf","human",11,5731
"147","Species.distribution.models.pdf","human",0,5731
"148","Supplementation.and.sustainable.grazing.systems.pdf","human",1,5731
"149","targeted_words_plot.pdf","human",1,5731
"150","Terrestrial.Vegetation.in.the.Coupled.Human.Earth.System_.Contributions.of.Remote.Sensing.pdf","human",65,5731
"151","The.biogeochemical.consequences.of.late.Holocene.wildfires.in.three.subalpine.lakes.from.northern.Colorado.pdf","human",13,5731
"152","The.co.evolution.of.life.and.organics.on.earth_.Expansions.of.energy.harnessing.pdf","human",18,5731
"153","The.Concept.of.the.Anthropocene.pdf","human",203,5731
"154","The.current.state.of.CO2.flux.chamber.studies.in.the.Arctic.tundra.pdf","human",0,5731
"155","The.discovery.of.fire.by.humans.pdf","human",93,5731
"156","The.Early.Origins.of.Terrestrial.C4.Photosynthesis.pdf","human",1,5731
"157","The.Environmental.Reach.of.Asia.pdf","human",15,5731
"158","The.long.term.impacts.of.climate.and.fire.on.catchment.processes.and.aquatic.ecosystem.response.in.Tasmania..Australia.pdf","human",7,5731
"159","The.Politics.of.the.Anthropogenic.pdf","human",71,5731
"160","The.Pyrogenic.Carbon.Cycle.pdf","human",17,5731
"161","The.pyrohealth.transition_.how.combustion.emissions.have.shaped.health.through.human.history.pdf","human",49,5731
"162","The.Role.of.Behavior.in.the.Evolution.of.Spiders..Silks..and.Webs.pdf","human",2,5731
"163","The.scientific.value.of.fire.in.wilderness.pdf","human",4,5731
"164","Tools.for.Assessing.the.Impacts.of.Climate.Variability.and.Change.on.Wildfire.Regimes.in.Forests.pdf","human",12,5731
"165","total_counts_of_targeted_words.pdf","human",1,5731
"166","Traditional.fire.use..landscape.transition..and.the.legacies.of.social.theory.past.pdf","human",142,5731
"167","Traditional.Fire.Knowledge.pdf","human",16,5731
"168","Transformative.Environmental.Governance.pdf","human",30,5731
"169","Transgressing.Time_.Archaeological.Evidence.in_of.the.Anthropocene.pdf","human",110,5731
"170","Tropical.Forests.in.the.Anthropocene.pdf","human",68,5731
"171","Understanding.Fire.Regimes.for.a.Better.Anthropocene.pdf","human",113,5731
"172","Understanding.the.long.term.impact.of.prescribed.burning.in.mediterranean.climate.biodiversity.hotspots..with.a.focus.on.south.western.Australia.pdf","human",14,5731
"173","Urbanism.and.Anthropogenic.Landscapes.pdf","human",39,5731
"174","Using.MODIS.data.to.analyse.post.fire.vegetation.recovery.in.Australian.eucalypt.forests.pdf","human",0,5731
"175","Vegetation.fires.in.the.Anthropocene.pdf","human",52,5731
"176","What.Limits.Trees.in.C4.Grasslands.and.Savannas_.pdf","human",3,5731
"177","Wildfire.Prediction.to.Inform.Fire.Management_.Statistical.Science.Challenges.pdf","human",9,5731
"178","Wildland.fire.risk.research.in.Canada.pdf","human",72,5731
"179","Will.landscape.fire.increase.in.the.future_.A.systems.approach.to.climate..fire..fuel..and.human.drivers.pdf","human",74,5731
"180","X12.000.Years.of.fire.regime.drivers.in.pdf","fire",26,29643
"181","X2022.12.30.NW.Biomes.to.Anthromes.Technical.Paper.pdf","fire",215,29643
"182","A.450.Million.Year.History.of.Fire.pdf","fire",247,29643
"183","A.new.Dead.Sea.pollen.record.reveals.the.last.glacial.paleoenvironment.of.the.southern.Levant.pdf","fire",3,29643
"184","A.Novel.Approach.to.Carrying.Capacity_.From.a.priori.Prescription.to.a.posteriori.Derivation.Based.on.Underlying.Mechanisms.and.Dynamics.pdf","fire",1,29643
"185","A.review.of.challenges.to.determining.and.demonstrating.efficiency.of.large.fire.management.pdf","fire",415,29643
"186","A.systematic.review.of.factors.affecting.wildlife.survival.during.rehabilitation.and.release.pdf","fire",18,29643
"187","A.review.of.study.methods.and.progress.on.hominid.use.of.fire.pdf","fire",0,29643
"188","Adaptation.Strategies.and.Approaches.for.Managing.Fire.in.a.Changing.Climate.pdf","fire",728,29643
"189","Aerosol.Impacts.on.Climate.and.Biogeochemistry.pdf","fire",3,29643
"190","An.Overview.of.Forest.Fire.Regimes.and.Their.Constitution.Basis.pdf","fire",65,29643
"191","Anthropology.and.the.Anthropocene_.Criticisms..Experiments..and.Collaborations.pdf","fire",9,29643
"192","archibald.2016.managing.the.human.component.of.fire.regimes.lessons.from.africa.pdf","fire",308,29643
"193","Assessing.Landscape.Vulnerability.to.Wildfire.in.the.USA.pdf","fire",397,29643
"194","Astrobiology_.The.Study.of.the.Living.Universe.pdf","fire",2,29643
"195","Broad.Scale.Monitoring.of.Live.Fuel.Moisture.pdf","fire",97,29643
"196","Can.trophic.rewilding.reduce.the.impact.pdf","fire",180,29643
"197","Centering.Indigenous.Voices_.The.Role.of.Fire.in.the.Boreal.Forest.of.North.America.pdf","fire",357,29643
"198","Changing.fire.regimes.in.East.and.Southern.Africa.s.savanna.protected.areas_.opportunities.and.challenges.for.indigenous.led.savanna.burning.emissions.abatement.schemes.pdf","fire",299,29643
"199","Climate.vegetation.fire.interactions.and.feedbacks_.trivial.detail.or.major.barrier.to.projecting.the.future.of.the.Earth.system_.pdf","fire",60,29643
"200","Climate.Adaptation.of.Tropical.Cattle.pdf","fire",0,29643
"201","Climate.and.wildfires.in.the.North.American.boreal.forest.pdf","fire",244,29643
"202","Climate.Change.and.Forests.pdf","fire",28,29643
"203","Climate.Change.and.Future.Fire.Regimes_.Examples.from.California.pdf","fire",315,29643
"204","Climate.change.impact.on.future.wildfire.danger.and.activity.in.southern.Europe_.a.review.pdf","fire",597,29643
"205","Climate.change.vulnerability.and.adaptation.in.the.managed.Canadian.boreal.forest.pdf","fire",12,29643
"206","Climate.change..extreme.weather.events.pdf","fire",58,29643
"207","CLIMATE.ECONOMICS..THE.STATE.OF.THE.ART.pdf","fire",47,29643
"208","Climate.Extremes.and.Compound.Hazards.in.a.Warming.World.pdf","fire",89,29643
"209","Climate.influences.on.future.fire.severity_.a.synthesis.of.climate.fire.interactions.and.impacts.on.fire.regimes..high.severity.fire..and.forests.in.the.western.United.States.pdf","fire",575,29643
"210","Climate..Environment..and.Disturbance.History.Govern.Resilience.of.Western.North.American.Forests.pdf","fire",631,29643
"211","Coexisting.with.wildfire_.Achievements.and.challenges.for.a.radical.social.ecological.transformation.in.Catalonia..Spain..pdf","fire",91,29643
"212","Comparison.of.Wildfire.Meteorology.and.Climate.at.the.Adriatic.Coast.and.Southeast.Australia.pdf","fire",732,29643
"213","Consequences.of.climate.change.pdf","fire",3,29643
"214","Considering.regeneration.failure.in.the.context.of.changing.climate.and.disturbance.regimes.in.western.North.America.pdf","fire",53,29643
"215","Critical.Geoarchaeology_.From.Depositional.Processes.to.the.Sociopolitics.of.Earthen.Life.pdf","fire",0,29643
"216","CURRENT.UNCERTAINTIES.IN.ASSESSING.AEROSOL.EFFECTS.ON.CLIMATE.pdf","fire",4,29643
"217","Current.Wildland.Fire.Patterns.and.Challenges.in.Europe_.A.Synthesis.of.National.Perspectives.pdf","fire",661,29643
"218","Degradation.and.Recovery.in.Changing.Forest.Landscapes_.A.Multiscale.Conceptual.Framework.pdf","fire",33,29643
"219","Demographic.Transitions.and.Modernity.pdf","fire",0,29643
"220","Denitrification..Anammox..and.N2.Production.in.Marine.Sediments.pdf","fire",0,29643
"221","Designer.Ecosystems_.Incorporating.Design.Approaches.into.Applied.Ecology.pdf","fire",1,29643
"222","Disturbance..Complexity..Scale_.New.Approaches.to.the.Study.of.Human.Environment.Interactions.pdf","fire",35,29643
"223","Drought.and.Fire.in.the.Western.USA_.Is.Climate.Attribution.Enough_.pdf","fire",310,29643
"224","Droughts..Wildfires..and.Forest.Carbon.Cycling_.A.Pantropical.Synthesis.pdf","fire",178,29643
"225","Dry.Deposition.of.Atmospheric.Aerosols_.Approaches..Observations..and.Mechanisms.pdf","fire",3,29643
"226","Ecological.Mechanisms.Underlying.Arthropod.Species.Diversity.in.Grasslands.pdf","fire",9,29643
"227","Ecology.and.evolution.of.pine.life.histories.pdf","fire",216,29643
"228","Ecology.and.long.term.history.of.fire.in.New.Zealand...Copy..2..pdf","fire",440,29643
"229","Ecology.and.long.term.history.of.fire.in.New.Zealand...Copy.pdf","fire",440,29643
"230","Ecology.and.long.term.history.of.fire.in.New.Zealand.pdf","fire",440,29643
"231","Economic.drivers.of.global.fire.activity_.A.critical.review.using.the.DPSIR.framework.pdf","fire",454,29643
"232","Ecosystem.Services.from.Tropical.Forests_.Review.of.Current.Science.pdf","fire",103,29643
"233","Effects.of.Evolution..Ecology..and.Economy.on.Human.Diet_.Insights.from.Hunter.Gatherers.and.Other.Small.Scale.Societies.pdf","fire",6,29643
"234","Environmental.Security.and.the.Anthropocene_.Law..Criminology..and.International.Relations.pdf","fire",0,29643
"235","Ever.Since.Owen_.Changing.Perspectives.on.the.Early.Evolution.of.Tetrapods.pdf","fire",0,29643
"236","Evolution.in.the.Anthropocene_.Informing.Governance.and.Policy.pdf","fire",2,29643
"237","Evolutionary.Ecology.of.Fire.pdf","fire",455,29643
"238","Evolutionary.Legacy.Effects.on.Ecosystems_.Biogeographic.Origins..Plant.Traits..and.Implications.for.Management.in.the.Era.of.Global.Change.pdf","fire",22,29643
"239","Fire.in.Mediterranean.Climate.Ecosystems.A.Comparative.Overview.pdf","fire",171,29643
"240","Fire.smart.management.of.forest.landscapes.in.the.Mediterranean.basin.under.global.change.pdf","fire",53,29643
"241","Fire.vegetation.interactions.during.the.last.11.000.years.in.boreal.and.cold.temperate.forests.of.Fennoscandia.pdf","fire",27,29643
"242","Fire.induced.deforestation.in.drought.prone.Mediterranean.forests_.drivers.and.unknowns.from.leaves.to.communities.pdf","fire",693,29643
"243","Fire.vegetation.feedbacks.and.alternative.states_.common.mechanisms.of.temperate.forest.vulnerabilit.pdf","fire",26,29643
"244","Fire.as.a.Fundamental.Ecological.Process_.Research.Advances.and.Frontiers.pdf","fire",766,29643
"245","Fire.effects.on.soils_.the.human.dimension.pdf","fire",302,29643
"246","Fire.in.the.Earth.System.pdf","fire",151,29643
"247","Fire.performance.of.timber.review.for.use.in.wildland.urban.interfaces.pdf","fire",186,29643
"248","Fire..grazing.and.the.evolution.of.New.Zealand.grasses.pdf","fire",68,29643
"249","Fire..herbivores.and.the.management.of.temperate.Eucalyptus.savanna.in.Tasmania_.Introducing.the.Beaufront.fire...mammalian.herbivore.field.experiment.pdf","fire",111,29643
"250","Fires.and.rates.of.change.in.the.temperate.rainforests.of.northwestern.Patagonia.since...x223C.18.ka.pdf","fire",13,29643
"251","Fires.in.the.Cenozoic_.a.late.flowering.of.flammable.ecosystems.pdf","fire",41,29643
"252","firesincoastal.pdf","fire",221,29643
"253","fourthbudget_supporting_research_reviewofclimatescience_developements_since_ippc_ar4.libre.pdf","fire",39,29643
"254","G__Journals_Client.07_WF_18.5._Pagination_Tex_WF08187.dvi.pdf","fire",849,29643
"255","Gender.in.African.Population.Research_.The.Fertility_Reproductive.Health.Example.pdf","fire",2,29643
"256","Global.Biodiversity.Change_.The.Bad..the.Good..and.the.Unknown.pdf","fire",4,29643
"257","Global.Biogeochemical.Cycling.of.Mercury_.A.Review.pdf","fire",0,29643
"258","Global.Climate.Forcing.by.Criteria.Air.Pollutants.pdf","fire",0,29643
"259","Global.Environmental.Change.and.Noncommunicable.Disease.Risks.pdf","fire",7,29643
"260","Global.footprints.of.dansgaard.oeschger.oscillations.in.a.GCM.pdf","fire",0,29643
"261","Global.State.of.Biodiversity.and.Loss.pdf","fire",0,29643
"262","Global.Wildland.Fire.Management.Research.Needs.pdf","fire",643,29643
"263","Have.plants.evolved.to.self.immolate_.pdf","fire",182,29643
"264","Historical.pyrogeography.of.Texas..USA.pdf","fire",387,29643
"265","Holocene.changes.in.fire.frequency.in.the.Daihai.Lake.region..north.central.China._.indications.and.implications.for.an.important.role.of.human.activity.pdf","fire",16,29643
"266","How.Does.Fire.Suppression.Alter.the.Wildfire.Regime.A.Systematic.Review.pdf","fire",723,29643
"267","How.Was.the.Australian.Flora.Assembled.Over.the.Last.65.Million.Years_.A.Molecular.Phylogenetic.Perspective.pdf","fire",19,29643
"268","Human.caused.fire.occurrence.modelling.in.perspective_.a.review.pdf","fire",492,29643
"269","Human.Appropriation.of.Net.Primary.Production_.Patterns..Trends..and.Planetary.Boundaries.pdf","fire",0,29643
"270","Human.Impacts.in.Pine.Forests_.Past..Present..and.Future.pdf","fire",14,29643
"271","Human.Pyrogeography_.A.New.Synergy.of.Fire..Climate.and.People.is.Reshaping.Ecosystems.across.the.Globe.pdf","fire",332,29643
"272","Humans.and.fire_.Changing.relations.in.early.agricultural.and.built.environments.in.the.Zagros..Iran..Iraq.pdf","fire",289,29643
"273","Integrating.Economic.Land.Use.and.Biophysical.Models.pdf","fire",1,29643
"274","Interactions.Among.Invasive.Plants_.Lessons.from.Hawai.i.pdf","fire",36,29643
"275","Invasiveness..Monitoring.and.Control.of.Hakea.sericea.A.Systematic.Review.pdf","fire",192,29643
"276","Island.Biodiversity.in.the.Anthropocene.pdf","fire",0,29643
"277","Justice.and.Future.Generations.pdf","fire",0,29643
"278","Land.Use.and.Ecological.Change_.A.12.000.Year.History.pdf","fire",23,29643
"279","Land.Use.and.Wildfire_.A.Review.of.Local.Interactions.and.Teleconnections.pdf","fire",328,29643
"280","Landscape.Ecology.A.Helicopter.View.pdf","fire",85,29643
"281","Late.glacial.and.Holocene.records.of.fire.and.vegetation.from.Cradle.Mountain.National.Park..Tasmania..Australia.pdf","fire",32,29643
